Gender,Age,Country/Region,Profession,Education Level,Favorite Celebrity/Genre,Free Time Interests,Online Habits,Life Goals
Male,54,Tuvalu,Tech and Engineering,Post-Graduate Degree,Science and Technology,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,23,Wallis and Futuna,Tech and Engineering,High School Graduate,Literature and Writing,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,64,Netherlands Antilles,Education and Research,Some College,Entrepreneurship and Business,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,24,Japan,Trades and Services,Some High School,Politics and Social Activism,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Non-binary/Prefer not to say,39,Jamaica,Arts and Entertainment,Post-Graduate Degree,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,28,Kazakhstan,Tech and Engineering,High School Graduate,Music and Performing Arts,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,68,Greece,Student / Retired / Unemployed / Prefer not to say,Post-Graduate Degree,Politics and Social Activism,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,48,India,Tech and Engineering,College Degree,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,43,Cuba,Trades and Services,High School Graduate,Literature and Writing,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Non-binary/Prefer not to say,68,Palestinian Territory,Trades and Services,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,19,Rwanda,Education and Research,High School Graduate,Entrepreneurship and Business,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,58,Australia,Student / Retired / Unemployed / Prefer not to say,College Degree,Film and Television,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,59,Anguilla,Arts and Entertainment,College Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,52,Cameroon,Tech and Engineering,College Degree,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,39,Samoa,Business and Finance,Some College,Sports and Athletics,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,66,Peru,Student / Retired / Unemployed / Prefer not to say,Post-Graduate Degree,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,65,New Caledonia,Public Service and Non-Profit,Some High School,Film and Television,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,27,Turkmenistan,Public Service and Non-Profit,Some College,Politics and Social Activism,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,19,Antigua and Barbuda,Trades and Services,Some College,Entrepreneurship and Business,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,47,Montenegro,Arts and Entertainment,Some High School,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,29,Barbados,Public Service and Non-Profit,High School Graduate,Music and Performing Arts,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,40,Ireland,Health and Wellness,High School Graduate,Literature and Writing,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,50,Bhutan,Tech and Engineering,High School Graduate,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,64,Guatemala,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Literature and Writing,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,52,Jamaica,Tech and Engineering,College Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,46,French Guiana,Health and Wellness,High School Graduate,Science and Technology,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,58,Zambia,Health and Wellness,Some College,Literature and Writing,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,68,San Marino,Trades and Services,College Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,51,Saint Pierre and Miquelon,Tech and Engineering,College Degree,Sports and Athletics,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,19,Western Sahara,Business and Finance,Some College,Music and Performing Arts,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,24,South Georgia and the South Sandwich Islands,Tech and Engineering,Some High School,Literature and Writing,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,44,Cayman Islands,Health and Wellness,Post-Graduate Degree,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,40,Iraq,Trades and Services,High School Graduate,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,60,British Virgin Islands,Business and Finance,Post-Graduate Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,18,Puerto Rico,Tech and Engineering,College Degree,Literature and Writing,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,55,Netherlands Antilles,Education and Research,College Degree,Sports and Athletics,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,40,Italy,Health and Wellness,High School Graduate,Entrepreneurship and Business,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,18,Haiti,Tech and Engineering,College Degree,Science and Technology,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,30,Niger,Health and Wellness,College Degree,Sports and Athletics,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,24,South Africa,Public Service and Non-Profit,College Degree,Sports and Athletics,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,33,Ecuador,Business and Finance,Some College,Science and Technology,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,24,Denmark,Business and Finance,High School Graduate,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,55,Spain,Arts and Entertainment,High School Graduate,Science and Technology,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,60,Korea,Tech and Engineering,Post-Graduate Degree,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,39,Kiribati,Tech and Engineering,Post-Graduate Degree,Sports and Athletics,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,66,Montenegro,Health and Wellness,Some College,Science and Technology,Reading or writing,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,42,Venezuela,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Music and Performing Arts,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,20,Moldova,Health and Wellness,College Degree,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,44,Cameroon,Business and Finance,Some College,Film and Television,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,47,Zambia,Public Service and Non-Profit,Post-Graduate Degree,Science and Technology,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,38,Norfolk Island,Business and Finance,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Non-binary/Prefer not to say,68,Puerto Rico,Public Service and Non-Profit,Some College,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,65,Madagascar,Student / Retired / Unemployed / Prefer not to say,College Degree,Literature and Writing,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,36,New Zealand,Business and Finance,Post-Graduate Degree,Literature and Writing,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,53,Denmark,Public Service and Non-Profit,Some College,Sports and Athletics,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,54,Netherlands,Business and Finance,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,27,Timor-Leste,Health and Wellness,Post-Graduate Degree,Sports and Athletics,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,67,Slovenia,Health and Wellness,Some College,Entrepreneurship and Business,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,45,Brunei Darussalam,Tech and Engineering,High School Graduate,Entrepreneurship and Business,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,37,Morocco,Business and Finance,College Degree,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,52,American Samoa,Health and Wellness,Some College,Music and Performing Arts,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,23,Guyana,Arts and Entertainment,High School Graduate,Film and Television,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,59,Pakistan,Business and Finance,Post-Graduate Degree,Entrepreneurship and Business,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,65,Qatar,Trades and Services,High School Graduate,Music and Performing Arts,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,34,Trinidad and Tobago,Education and Research,College Degree,Film and Television,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,26,Colombia,Health and Wellness,Some College,Politics and Social Activism,Reading or writing,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,31,Papua New Guinea,Business and Finance,Post-Graduate Degree,Entrepreneurship and Business,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,64,Kuwait,Education and Research,Some College,Science and Technology,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,42,Bermuda,Public Service and Non-Profit,Some High School,Entrepreneurship and Business,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,39,Bulgaria,Tech and Engineering,Post-Graduate Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,55,Egypt,Education and Research,High School Graduate,Music and Performing Arts,Reading or writing,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,25,China,Health and Wellness,Some High School,Sports and Athletics,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Achieving financial security
Non-binary/Prefer not to say,52,Grenada,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Literature and Writing,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,36,Western Sahara,Health and Wellness,Some High School,Entrepreneurship and Business,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,52,France,Public Service and Non-Profit,Some High School,Science and Technology,Reading or writing,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,38,Cook Islands,Education and Research,Some College,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,68,Puerto Rico,Education and Research,High School Graduate,Entrepreneurship and Business,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,38,Luxembourg,Public Service and Non-Profit,High School Graduate,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,25,Indonesia,Education and Research,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,27,Kazakhstan,Trades and Services,Some College,Sports and Athletics,Reading or writing,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,32,Namibia,Arts and Entertainment,College Degree,Film and Television,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,19,Germany,Health and Wellness,College Degree,Film and Television,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,55,Qatar,Arts and Entertainment,High School Graduate,Film and Television,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,62,Guatemala,Arts and Entertainment,Some College,Literature and Writing,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,32,Mayotte,Tech and Engineering,Some College,Film and Television,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,26,Ecuador,Arts and Entertainment,Some College,Entrepreneurship and Business,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,36,Faroe Islands,Arts and Entertainment,Some College,Politics and Social Activism,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,46,Guam,Business and Finance,Some High School,Science and Technology,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Non-binary/Prefer not to say,59,Heard Island and McDonald Islands,Tech and Engineering,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,64,Saint Vincent and the Grenadines,Health and Wellness,High School Graduate,Music and Performing Arts,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,42,Mali,Business and Finance,College Degree,Entrepreneurship and Business,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,23,Egypt,Public Service and Non-Profit,Some High School,Film and Television,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,24,Malta,Tech and Engineering,Post-Graduate Degree,Film and Television,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,66,Micronesia,Public Service and Non-Profit,High School Graduate,Music and Performing Arts,Reading or writing,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,62,Bahamas,Trades and Services,College Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,69,Ghana,Tech and Engineering,High School Graduate,Entrepreneurship and Business,Reading or writing,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,63,Nauru,Health and Wellness,High School Graduate,Entrepreneurship and Business,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,34,British Indian Ocean Territory (Chagos Archipelago),Trades and Services,Some College,Film and Television,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,41,Antigua and Barbuda,Education and Research,Post-Graduate Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,23,Saint Lucia,Business and Finance,Some High School,Entrepreneurship and Business,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,46,Northern Mariana Islands,Health and Wellness,High School Graduate,Music and Performing Arts,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,53,French Guiana,Business and Finance,Some High School,Sports and Athletics,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,47,El Salvador,Tech and Engineering,Post-Graduate Degree,Film and Television,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,63,Dominican Republic,Tech and Engineering,Post-Graduate Degree,Sports and Athletics,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,64,Georgia,Tech and Engineering,Post-Graduate Degree,Film and Television,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,33,Yemen,Education and Research,Some College,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,47,Morocco,Trades and Services,High School Graduate,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,55,Bhutan,Trades and Services,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,54,Rwanda,Health and Wellness,Some College,Entrepreneurship and Business,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Non-binary/Prefer not to say,22,Qatar,Education and Research,High School Graduate,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,63,Slovakia (Slovak Republic),Trades and Services,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,33,Ireland,Education and Research,Some College,Film and Television,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,52,Northern Mariana Islands,Education and Research,College Degree,Science and Technology,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,45,Aruba,Trades and Services,Post-Graduate Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,64,Latvia,Trades and Services,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,29,Guinea-Bissau,Education and Research,High School Graduate,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,45,Botswana,Public Service and Non-Profit,Post-Graduate Degree,Film and Television,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,22,Thailand,Public Service and Non-Profit,College Degree,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Non-binary/Prefer not to say,55,Bulgaria,Tech and Engineering,Post-Graduate Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,36,Anguilla,Education and Research,College Degree,Literature and Writing,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,42,South Georgia and the South Sandwich Islands,Arts and Entertainment,Post-Graduate Degree,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,40,French Polynesia,Tech and Engineering,College Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,53,Liechtenstein,Public Service and Non-Profit,Post-Graduate Degree,Literature and Writing,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,40,China,Education and Research,High School Graduate,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,45,Netherlands Antilles,Tech and Engineering,Post-Graduate Degree,Film and Television,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,28,Cuba,Arts and Entertainment,College Degree,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,46,New Zealand,Health and Wellness,High School Graduate,Science and Technology,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,60,Kiribati,Health and Wellness,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,24,Saudi Arabia,Tech and Engineering,Some High School,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,42,Pakistan,Tech and Engineering,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,37,Ireland,Public Service and Non-Profit,High School Graduate,Film and Television,Reading or writing,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,31,Malta,Public Service and Non-Profit,High School Graduate,Entrepreneurship and Business,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,39,Macao,Tech and Engineering,College Degree,Science and Technology,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,50,Cote d'Ivoire,Trades and Services,Some College,Music and Performing Arts,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,53,Haiti,Health and Wellness,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,46,Finland,Trades and Services,Some College,Film and Television,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,37,Latvia,Student / Retired / Unemployed / Prefer not to say,Some High School,Sports and Athletics,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,53,Costa Rica,Trades and Services,High School Graduate,Sports and Athletics,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,68,Saudi Arabia,Tech and Engineering,High School Graduate,Music and Performing Arts,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,40,Palau,Tech and Engineering,High School Graduate,Entrepreneurship and Business,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,60,Malaysia,Education and Research,Post-Graduate Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,32,Israel,Health and Wellness,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,47,Bhutan,Business and Finance,College Degree,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,54,Ukraine,Arts and Entertainment,Some College,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,63,Jordan,Tech and Engineering,College Degree,Science and Technology,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,35,Madagascar,Health and Wellness,College Degree,Film and Television,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,49,Hong Kong,Tech and Engineering,Some High School,Politics and Social Activism,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,47,Netherlands Antilles,Trades and Services,Some High School,Literature and Writing,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Non-binary/Prefer not to say,24,British Indian Ocean Territory (Chagos Archipelago),Student / Retired / Unemployed / Prefer not to say,Post-Graduate Degree,Science and Technology,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Non-binary/Prefer not to say,53,Central African Republic,Tech and Engineering,College Degree,Politics and Social Activism,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,56,Saint Vincent and the Grenadines,Health and Wellness,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Non-binary/Prefer not to say,58,Grenada,Health and Wellness,Some College,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,33,New Caledonia,Health and Wellness,High School Graduate,Film and Television,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,41,Togo,Education and Research,Post-Graduate Degree,Film and Television,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,26,Ghana,Trades and Services,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,50,Guadeloupe,Education and Research,High School Graduate,Entrepreneurship and Business,Reading or writing,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,25,Liberia,Tech and Engineering,Post-Graduate Degree,Literature and Writing,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,66,Sudan,Trades and Services,College Degree,Film and Television,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,66,Tokelau,Tech and Engineering,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Non-binary/Prefer not to say,30,Montenegro,Arts and Entertainment,Post-Graduate Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,49,Nigeria,Tech and Engineering,Post-Graduate Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,21,Azerbaijan,Education and Research,Some High School,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,66,Albania,Education and Research,High School Graduate,Literature and Writing,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,65,Gibraltar,Business and Finance,College Degree,Film and Television,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,55,Aruba,Health and Wellness,Post-Graduate Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,64,Montserrat,Student / Retired / Unemployed / Prefer not to say,College Degree,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,34,Switzerland,Business and Finance,High School Graduate,Film and Television,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,46,Georgia,Tech and Engineering,College Degree,Music and Performing Arts,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Non-binary/Prefer not to say,54,Palau,Tech and Engineering,Some College,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,29,Honduras,Business and Finance,Post-Graduate Degree,Literature and Writing,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
